0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
3,SÃO PAULO,1.015,45.094.866,44.428,,,,,,,,,,,,,,,,,,
4,RIO DE JANEIRO,361,16.718.956,46.313,,,,,,,,,,,,,,,,,,
5,SANTA CATARINA,133,7.001.161,52.640,,,,,,,,,,,,,,,,,,
6,AMAPÁ,15,797.722,53.181,,,,,,,,,,,,,,,,,,
7,ESPIRITO SANTO,74,4.016.356,54.275,,,,,,,,,,,,,,,,,,
8,GOIÁS,117,6.778.772,57.938,,,,,,,,,,,,,,,,,,
9,AMAZONAS,70,4.063.614,58.052,,,,,,,,,,,,,,,,,,
10,PARANÁ,193,11.320.892,58.657,,,,,,,,,,,,,,,,,,
11,RIO GRANDE DO SUL,176,11.322.895,64.335,,,,,,,,,,,,,,,,,,
12,MATO GROSSO,46,3.344.544,72.707,,,,,,,,,,,,,,,,,,
13,MINAS GERAIS,257,21.119.536,82.177,,,,,,,,,,,,,,,,,,
14,TOCANTINS,18,1.550.194,86.122,,,,,,,,,,,,,,,,,,
15,CEARÁ,101,9.020.460,89.311,,,,,,,,,,,,,,,,,,
16,SERGIPE,24,2.288.116,95.338,,,,,,,,,,,,,,,,,,
17,PERNAMBUCO,97,9.473.266,97.663,,,,,,,,,,,,,,,,,,
18,RONDONIA,18,1.805.788,100.322,,,,,,,,,,,,,,,,,,
19,MATO GROSSO DO SUL,27,2.713.147,100.487,,,,,,,,,,,,,,,,,,
20,PARAIBA,37,4.025.558,108.799,,,,,,,,,,,,,,,,,,
21,MARANHÃO,62,7.000.229,112.907,,,,,,,,,,,,,,,,,,
22,RIO GRANDE DO NORTE,31,3.507.003,113.129,,,,,,,,,,,,,,,,,,
23,ALAGOAS,29,3.375.823,116.408,,,,,,,,,,,,,,,,,,
24,ACRE,7,829.619,118.517,,,,,,,,,,,,,,,,,,
25,PIAUI,26,3.219.257,123.818,,,,,,,,,,,,,,,,,,
26,PARÁ,66,8.366.628,126.767,,,,,,,,,,,,,,,,,,
27,BAHIA,104,15.344.447,147.543,,,,,,,,,,,,,,,,,,
,Total,3.206,207.660.929,64.773,,,,,,,,,,,,,,,,,,
Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,Fonte: Filme B Box Office Brasil /Pop: IBGE-estimativa 2017 - Pesquisa: Filme B,,,,,,,,,,,,,,,,,,
,,Topo da página,© Copyright Filme B. Todos os direitos reservados.,,,,,,,,,,,,,,,,,,,
